team,task,vmem_median,vmem_max,rmem_median,rmem_max
bl-searchgraph,task1,14.484695434570312,17.964378356933594,9.602005004882812,13.17422866821289
bl-searchgraph,task2,6.690326690673828,7.371307373046875,1.9096298217773438,2.2598533630371094
browncicese,task1,20.312400817871094,20.40139389038086,14.227401733398438,14.316364288330078
browncicese,task2,12.31033706665039,12.31033706665039,6.246105194091797,6.246105194091797
cm-lll,task1,16.259254455566406,16.259254455566406,11.553611755371094,11.58547592163086
crustycoders,task1,32.581424713134766,32.581424713134766,14.462202072143555,14.462921142578125
crustycoders,task2,6.475364685058594,7.227317810058594,3.1015186309814453,3.133228302001953
dcc-chile,task2,18.25860595703125,26.100814819335938,8.16169548034668,15.968650817871094
hforest,task1,12.484931945800781,20.762516021728516,12.16766357421875,15.985557556152344
hforest,task2,8.167755126953125,8.167755126953125,7.082756042480469,7.35076904296875
jlapeyra,task1,17.29035186767578,21.413803100585938,7.869052886962891,15.333126068115234
jlapeyra,task2,13.853858947753906,18.341632843017578,5.438823699951172,14.804054260253906
teamdoublefiltering,task1,9.702095031738281,9.704338073730469,9.572742462158203,9.578807830810547
